Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children
Buddhist,Mahakala,God,Protector Deity,Various,Male,Wrathful Protector,"Protection, Dharma Defense","Skull Cup, Trishula",Black,"Protection, Wisdom",,,,,
Cheyenne,Ma'heo'o,God,Creator,Cheyenne Nation,Other,Deity,Creation,Thunderbird,,Creator,,,,,
Hawaiian,Mahuiki,God,Fire Goddess,Hawaii,Female,Goddess,Fire,Fire,Red,Fire,,,,,
Albanian,Mallkoj,Spirit,Guardian Spirit,Albanian Regions,Other,Spirit,"Guardian, Blessings","Eye, Hand",,"Guardian, Blessings",,,,,
Caribbean,Mama Glo,Spirit,Earth Mother and Fertility Spirit,Haiti,Female,Fertility Goddess,"Fertility, Agriculture, Nurturing","Earth, Plants, Maternal Figure","Brown, Green","Fertility, Nurturing",,,,,
Quechua,Mama Killa,God,Goddess of the Moon,Andean Region,Female,Lunar Deity,"Moon, Night, Fertility","Crescent Moon, Silver Disk",Silver,"Fertility, Femininity",,Pachamama,Inti,,
Inca,Mama Ocllo,God,Fertility,Andes,Female,Goddess,Fertility,,,Fertility,,,,,
Inca,Mama Quilla,God,Creator god,Koricancha (Golden Temple),Male,Earth and fertility,Earth and fertility,"Sun disk, llama","Gold, red","Earth, fertility",Married,Pachamama,Viracocha,Pachamama,"Many, including Manco Capac, Mama Ocllo"
Vodou,Maman Brigitte,God,Guardian of the Cemetery,"Haiti, New Orleans",Female,"Guardian of Graves, Ghede Queen","Death, Afterlife, Ancestors","Cross, Rum, Peppers","Black, Purple","Death, Afterlife",,Bondye,Baron Samedi,,"Many, including Ghede"
Sumerian,Mami,God,Mother,Sumer,Female,Goddess,Mother,,,Mother,,,,,
Caribbean,Mami Wata,Spirit,Water Spirit and Mermaid Goddess,"West Africa, Caribbean",Female,"Water Spirit, Seductress","Water, Prosperity, Fertility","Mermaid, Serpent","Blue, Green","Prosperity, Fertility",,,,,
Celtic,Manannan Mac Lir,God,God of the Sea and Otherworld,Isle of Man,Male,"Mysterious and Otherworldly, radiant and kind","Sea, Otherworld","Waves, Cloak","Blue, Silver","Otherworld, Sea",,,Lir,,Niamh
Arab,Manat,God,Goddess of Fate and Time,Arabian Peninsula,Female,Wise and Fateful,"Fate, Time, Destiny",Crescent Moon,Black,"Destiny, Time",,,,,
Mandean,Manda d Hiia,Spirit,Knowledge and Wisdom,Mandaean,Male,"Knowledge, Wisdom",Enlightenment,"Scroll, Lamp",White,"Knowledge, Enlightenment",,"Ptahil, Ruha",,,
Algonquin,Manitou,Spirit,Spiritual Force and Essence of Life,Algonquian Tribes,Other,Spiritual Essence,"Spiritual Power, Life Force","Nature Symbols, Sacred Icons",Various,"Connection with the Sacred, Life Force",,,,,
Buddhist,Manjushri,God,Bodhisattva of Wisdom,Cosmic,Male,Wisdom Incarnate,"Wisdom, Intelligence","Sword, Book",Blue,"Wisdom, Intelligence",,,,,
Mesopotamian,Marduk,God,God of wisdom and water,Sky,Male,"Wise and watery,",Wisdom and water,"Willow, moon,","White, yellow","Wisdom, water",Married,Ki,An,Xi Wangmu,"Many, including Guanyin,"
Assyrian,Marduk,God,Chief God of Babylon,Babylonia,Male,Supreme Deity of Babylon,"Babylon, Creation, Victory","Dragon, Spade","Blue, Gold","Victory, Justice",Married,Damkina,Ea,Sarpanitu,"Nabu, Nergal"
Babylonian,Marduk,God,Chief god of Babylon,-,Male,Deity,"Creation, fertility","Dragon, Marduk's spade",-,"Creation, fertility",-,Ea (Enki),Damkina,Sarpanit,Various deities
Spanish,Maris,God,God of the Sea,Iberian Peninsula,Male,Powerful and Mysterious,"Sea, Power","Trident, Sea Waves","Blue, Silver","Sea, Power",,,,,
Roman,Mars,God,God of war,Mount Olympus,Male,Warrior,War and conflict,"Spear, shield","Red, gold","War, courage",Married,Juno,Jupiter,Venus,"Cupid, Harmonia"
Communist,Marx,Human,"Philosopher, Revolutionary",Global,Male,Visionary Leader,"Socialism, Class Struggle",Communist Manifesto,Red,"Socialism, Marxism, Equality",Married,Henriette Pressburg (Mother),Heinrich Marx (Father),Jenny von Westphalen,"Jenny, Laura, Eleanor"
Slavic,Marzanna,God,Goddess,Slavic,Female,Goddess,"Death, Winter",Straw Effigy,White,Goddess,,,,,
Hopi,Masauwu,God,"Guardian, God of the Dead",Hopi Mesas,Male,"he commands authority over the underworld, fire, and death","Dead, Underworld, Fire",Skeleton,,"Guardian, God of the Dead",,,,,
Wabanaki,Mateguas (Water Spirit),Spirit,Water Spirit and Guardian of Aquatic Realms,Wabanaki Confederacy,Female,Water Spirit,"Water, Aquatic Life, Healing","Water Symbols, Healing Icons",Blue,"Connection with Water, Healing",,,,,
Sami,Máttaráhkká,God,Goddess of the Bear,Sami Lands,Female,Protective and Courageous,"Bears, Protection",Bear,Brown,"Protection, Courage",,,,,"Many, including bear spirits"
Vietnamese,Mẫu Thượng Ngàn,God,Mother Goddess of the Forest and Mountains,Forests,Female,Nurturing and Protective,"Forest, Mountains","Forest Animals, Mountains",Green,"Nature, Protection",,,,,
Polynesian,Maui,God,"Hero, demigod, and trickster",Pacific Islands,Male,Clever and Mischievous,"Trickery, transformation, heroism","Fishhook, tattoos","Brown, green","Trickery, heroism",Married,Hina,Makea,"Numerous, including humans and creatures",
Polynesian,Māui,Human,Heroic figure and culture hero,"Land, Sky",Male,Clever and Adventurous,Cultural achievements,Fish hook,Various,"Perseverance, cleverness",,Papatūānuku,Rangi,,Various cultural beings
Dahomey,Mawu-Lisa,God,"Supreme deity, creator goddess",Sky,Female,Supreme Deity,"Creation, life","Sun, moon",Gold,"Creation, life",Married,,,Lisa,Oba Koso (Shango)
Vietnamese,Mazu,God,Goddess of the Sea and Protector of Sailors,Seas,Female,Compassionate and Protective,"Sea, Protection",Nautical Symbols,Blue,"Sea, Protection",,,,,
Fijian,Mbete,God,God of wind and storms,Wind,Male,Powerful and Unpredictable,"Wind, storms",Wind symbols,Various,"Power of nature, unpredictability",,,,,Various storm-related beings
Sara,Mbongo,Spirit,"Elephant spirit, symbol of strength",Sara homeland,Male,Strong and Majestic,"Strength, leadership",Elephant,Grey,"Strength, leadership",,,,,
Yazidi,Melek Mirza,Spirit,Peacock Angel,Yazidi,Male,Divine Protector,"Protection, Harmony","Peacock, Sword",Blue,"Protection, Harmony",,,,,
Yazidi,Melek Taus,God,"Peacock Angel, Chief Deity",Yazidi,Male,"Wisdom, Protection","Peacock, Cosmic Order","Peacock, Sun Disk",Blue,"Wisdom, Protection",,,,,
Phoenician,Melqart,God,God of City,Phoenician Regions,Male,God,"City, Protector","Lion, Club",Red,"City, Protector",,,,,
French,Melusine,God,Water Nymph and Sorceress,French Region,Female,Enchantress,"Water, Transformation",Water Symbols,Blue,Transformation,,,,,
Chinese,Meng Po,God,Lady of Forgetfulness,Underworld,Female,Gentle and Forgetful,"Forgetfulness, Reincarnation",Bowl of Forgetfulness,Gray,"Forgetfulness, Reincarnation",,,,,
Xavante,Mẽnhẽ,God,Goddess of the Moon,Xavante Territory,Female,Lunar Deity,"Moon, Night, Fertility","Crescent Moon, Night Symbols",Silver,"Fertility, Femininity",,,,,
Etruscan,Menrva,God,"Goddess of wisdom, arts, and war",Sky,Female,Wise and Skilled,"Wisdom, arts, war","Owl, helmet, spear","Gold, blue","Wisdom, arts, courage",,Uni,Tinia,,"Many, including Hercle"
Roman,Mercury,God,Messenger god,Mount Olympus,Male,Messenger,"Communication,","Caduceus,","Multi-colored,","Communication, wit",Married,Maia,"Jupiter,","Venus, Maia","Hermes, Perseus"
Jewish,Metatron,Spirit,Angelic Scribe,Heaven,Male,Messenger and Recorder,"Communication, Recording, Divine Secrets","Scrolls, Wings",Gold,"Revelation, Communication",,,,,
Aztec,Mictlantecuhtli,God,God of the Dead,Mesoamerica,Male,Lord of the Underworld,"Death, Afterlife","Skull Face, Skeleton Body","Black, White","Death, Afterlife",,Coatlicue (Mother),,,
Toltec,Mictlantecuhtli,God,God of the Dead,Mesoamerica,Male,Lord of the Underworld,"Death, Afterlife","Skull Face, Skeleton Body","Black, White","Death, Afterlife",,,,,
Finnish,Mielikki,God,Forest Queen,Finland,Female,Goddess,Forest,Deer,Green,Forest Queen,,,,,
Armenian,Mihr,God,God of the Sun,Armenian Regions,Male,God,"Sun, Light",Solar Disk,Gold,"Sun, Light",,,,,
Norse,Mimir,Spirit,Wisdom Keeper and Guardian of the Well of Wisdom,Asgard,Male,Wise and Knowledgeable,"Wisdom, Knowledge","Well, Head","Blue, Grey","Wisdom, Knowledge",,Not mentioned,Not mentioned,,
Roman,Minerva,God,Goddess of Wisdom and War,Rome,Female,Wise and Strategist,"Wisdom, war",Owl,Blue,"Wisdom, war",,Jupiter,Metis,,
Persian,Mithra,God,God of Sun and Contracts,Persian,Male,Sun God,"Sun, Contracts","Sun, Bull",Red,"Sun, Contracts",,Anahita,Ahura Mazda,,
Zoroastrian,Mithra,God,God of the sun,-,Male,Deity,"Sun, light, contracts",-,-,"Sun, light, contracts",-,-,-,-,Various deities
Slavic,Mokosh,God,Goddess of Earth and Fertility,Earth,Female,Nurturing and Abundant,"Agriculture, fertility","Sheaf of wheat, plough","Green, brown","Fertility, abundance",,Mati Syra Zemlya,Rod,,"Many, including Yarilo"
Croatian,Morana,God,Goddess of Winter and Death,Croatia,Female,Enigmatic and Stern,"Winter, death",Snowflake,Dark Blue,"Transformation, cycles",,,,,
Slavic,Morana,God,Goddess of Winter,Slavic Regions,Female,Goddess,"Winter, Death, Psychopomp","Snowflakes, Scythe",White,"Winter, Death",,,,,
Slavic,Morozko,God,Frosty winter deity,Winter,Male,Stern and Frosty,"Winter, frost, cold","Frosty figure, ice staff","White, blue","Winter, endurance",,Mother (varies),Father (varies),,
Celtic,Morrigan,God,Goddess of War and Fate,Celtic Lands,Female,War Goddess,"War, Fate, Sovereignty","Crow, Spear",Red,"War, Fate, Sovereignty",Married,Ernmas,The Dagda,The Dagda,Various Deities
Arab,Moses,Human,"Prophet, Lawgiver","Egypt, Sinai Peninsula",Male,"Leader, Lawgiver","Exodus, Ten Commandments","Burning Bush, Staff",,"Justice, Freedom",Married,Jochebed,Amram,Zipporah,"Gershom, Eliezer"
Ugaritic,Mot,God,God of Death,Ugaritic Regions,Male,God,"Death, Underworld","Death, Scythe",Black,"Death, Underworld",,,,,
Canaanite,Mot,God,God of death,-,Male,Deity,"Death, underworld",-,-,Death and the underworld,-,-,-,-,-
Sara,Moundang,Spirit,Ancestor spirits and protectors,Sara homeland,Other,Protective and Guiding,Ancestral guidance,Ancestral,Varied,Ancestral connection,,,,,
Arab,Muhammad,Human,Prophet,Arabian Peninsula,Male,Seal of the Prophets,"Monotheism, Quran","Crescent Moon, Quran",Green,"Compassion, Submission",Married,Amina,Abdullah,Khadija,"Fatimah, Ali"
Sumerian,Mummu,God,Chaos,Sumer,Male,God,Chaos,,,Chaos,,,,,
Egyptian,Mut,God,Mother Goddess,Egypt,Female,Goddess,"Motherhood, Royalty",Vulture,Blue,Motherhood,,Nut,Geb,,"Khonsu, Astarte"
Spanish,Nabia,God,Goddess of Waters and Healing,Lusitania,Female,Healing and Nurturing,"Waters, Healing","Water Basin, Healing Herbs","Blue, Green","Waters, Healing",,,,,
Assyrian,Nabu,God,God of Wisdom and Writing,Assyria,Male,God of Wisdom and Knowledge,"Wisdom, Writing, Scribes","Tablet, Reed Pen",Blue,"Wisdom, Knowledge",,Sarpanitu,Marduk,,
Fijian,Nakini,God,Goddess of fire and volcanoes,Volcanoes,Female,Passionate and Destructive,"Fire, volcanoes",Flames,Red,"Transformation, destruction",,,,,Various volcanic beings
Hawaiian,Namaka,God,Goddess of the sea and sea creatures,"Oceans, Seas",Female,Fierce and Protective,"Sea, sea creatures",Shells,Blue,Protection of the sea,,,,,Various sea beings
Sumerian,Nammu,God,Primeval Sea,Sumer,Female,Goddess,Primeval Sea,,,Primeval Sea,,,,,
Ojibwe,Nanabozho,Human,Trickster Hero and Teacher of Wisdom,Ojibwe Nation,Male,Trickster Hero,"Trickery, Wisdom, Creator of Life","Trickster Symbols, Sacred Icons",Various,"Wisdom, Humor, Creation",,Sky Woman,,,Various (Including Animals and Humans)
Armenian,Nane,God,Mother Goddess,Armenian Regions,Female,Goddess,"Motherhood, Fertility","Moon, Stars",,"Motherhood, Fertility",,,,,
Laotian,Nang Khotmok,God,Goddess of the Moon,Moon,Female,Serene and Mysterious,"Moon, Night","Crescent Moon, Stars",Silver,"Serenity, Mystery",,,,,
Laotian,Nang Tani,Spirit,Spirit of the Banana Tree,Nature,Female,Protective and Graceful,"Banana Trees, Nature",Banana Leaves,Green,"Protection, Grace",,,,,
Laotian,Nang Thorani,God,Goddess of the Earth,Earth,Female,Nurturing and Abundant,"Earth, Agriculture","Earth, Plants",Brown,"Fertility, Abundance",,,,,
Fijian,Nangkato,God,Goddess of healing and medicinal plants,Nature,Female,Nurturing and Healing,"Healing, medicinal plants",Plant symbols,Green,"Health, well-being",,,,,Various healing beings
Sumerian,Nanna,God,God of the Moon,Sumer,Male,"Moon God, Illuminating","Moon, Light",Crescent Moon,Silver,"Illumination, Cycles",,Ningal,Enlil,,Utu
Sumerian,Nanna (Sin),God,God of the moon,-,Male,Deity,Moon,Crescent moon,-,Moon,-,Anu,Enlil,Ningal,Various deities
Inuit,Nanook,God,God of Bears and Hunting,Arctic Regions,Male,Fierce and Mighty,"Bears, Hunting",Polar Bear,White,"Hunting Skills, Strength",,,,,"Many, including bear spirits"
Celtic,Nantosuelta,God,Gaulish Goddess of Nature,Celtic,Female,Nature Goddess,"Nature, Healing","Cornucopia, Sickle",Green,"Nature, Healing",,,,,Sucellus
Fijian,Navuavu,God,God of navigation and seafaring,Oceans,Male,Skilled and Protective,"Navigation, seafaring",Boat symbols,Blue,"Safe travels, protection at sea",,,,,Various sea beings
Fijian,Ndengi,God,God of the forest and wild animals,Forests,Male,Protective and Wild,"Forests, wild animals",Tree symbols,Green,"Nature, protection of wildlife",,,,,Various forest beings
Cambodian,Neak Ta,Spirit,Local Guardian Spirits,Specific Locations,Other,Protective and Benevolent,"Local Area, Protection","Offerings, Statues",Varies,Local Protection,,,,,
Cambodian,Neak Ta Pring,God,God of the Mountains,Mountains,Male,Strong and Protective,"Mountains, Protection","Mountain Peaks, Sword",Brown,"Strength, Protection",,,,,
Cambodian,Neang Kongheng,God,Goddess of Music and Dance,Arts and Culture,Female,Artistic and Joyful,"Music, Dance",Musical Instruments,Gold,"Art, Joy",,,,,
Cambodian,Neang Neak,God,"Water Nymph, Guardian of Water and Rivers","Water, Rivers",Female,Graceful and Protective,"Water, Rivers, Nature","Water Lily, Flowing Robes",Blue,"Water, Nature",,,,,
Cambodian,Neang Neak Borei,God,Goddess of Lightning and Thunder,Skies,Female,Powerful and Dynamic,"Lightning, Thunder","Thunderbolt, Clouds",Blue,"Power, Protection",,,,,
Cambodian,Neang Pov,God,Goddess of Rice and Agriculture,Fields,Female,Nurturing and Abundant,"Agriculture, Fertility","Rice, Harvest Tools",Green,"Agriculture, Fertility",,,,,
Cambodian,Neang Preah,God,Goddess of Love and Compassion,Love,Female,Compassionate and Loving,"Love, Compassion","Lotus Flower, Heart",Pink,"Love, Compassion",,,,,
Cambodian,Neang Sovatha,God,Goddess of Wisdom and Knowledge,Wisdom,Female,Wise and Intelligent,"Wisdom, Knowledge","Scrolls, Owl",Blue,"Wisdom, Learning",,,,,
Egyptian,Nehebkau,God,Snake Deity,Egypt,Other,Deity,Protection,Two-headed Snake,,Protection,,,,,
Egyptian,Neith,God,War Goddess,Egypt,Female,Goddess,War,"Bow, Arrow",Red,War,,,,,
Greek,Nemesis,God,Goddess of Retribution,Mount Olympus,Female,Just and Unyielding,Retribution,"Scales, whip",Indigo,"Retribution, justice, balance",,Nyx,Erebus,,
Egyptian,Nephthys,God,Funerary Goddess,Egypt,Female,Goddess,"Mourning, Death",Funerary Symbols,Black,Mourning,,Nut,Geb,,"Anubis, Astarte"
Roman,Neptune,God,God of the Sea and Water,Rome,Male,Mighty and Oceanic,"Sea, water",Trident,Deep Blue,"Ocean, water",Married,Saturn,Ops,Salacia,Triton
Assyrian,Nergal,God,God of War and the Underworld,Assyria,Male,God of War and Death,"War, Death, Underworld","Lion, Weapon, Flame","Red, Black","Courage, Death",Married,Enlil,Ninlil,Ereshkigal,Namtar
Sumerian,Nergal,God,God of the Underworld,Sumer,Male,"Underworld God, Death","Underworld, Death","Lion, Underworld Gate","Red, Black","Death, Underworld",Married,,Enlil,Ereshkigal,
Germanic,Nerthus,God,Germanic Earth Goddess,Germanic,Female,Earth Goddess,"Earth, Fertility","Wagon, Boar",Green,"Earth, Fertility",,,,,
Taoist,Nezha,God,Deity of protection and courage,,Male,Courageous and Loyal,"Protection, courage","Fire-tipped spear, magic sash","Red, gold","Protection, courage",,Lady Yin,Li Jing,,
Chinese,Nezha,God,God of Protection and Triumph,Earth,Male,Courageous and Fearless,"Protection, Triumph","Fire Wheels, Spear",Red,"Courage, Victory",,Li Jing (Father),Lady Yin (Mother),,
Sara,Ngaoundéré,Anthropomorphism,Sacred city and spiritual center,Sara homeland,Other,Holy and Sacred,"Spiritual pilgrimage, trade",Shrine,Varied,"Spiritual center, pilgrimage",,,,,
Aboriginal,Ngariman,God,"Moon god, associated with cycles of the moon",Sky,Male,Regulator of Lunar Cycles,"Moon, time",Moon,White,"Time, cycles",,,,,Various moon-related beings
Sara,Ngondo,Spirit,Rain spirit and bringer of life,Sara homeland,Other,Life-giving and Refreshing,"Rain, agricultural abundance",Raindrops,Blue,"Life, abundance",,,,,
Guaraní,Nhanderuvuçu,Spirit,Great Spirit and Creator of All Things,Guaraní Region,Male,Supreme Creator,"Creation, Life, Natural Order",Celestial Symbols,Various,"Harmony with Nature, Creation",,,,,
Celtic,Niamh,Human,"Otherworldly Woman, Lover of Oisin",Tir na nOg,Female,Enchanting and Eternal,"Otherworld, Eternal Love","Golden Hair, Swans","Gold, White","Otherworld, Eternal Love",Married,,Manannan Mac Lir,Oisin,"Oscar, Plor na mBan, and others"
Sumerian,Nidaba,God,"Goddess of writing, learning",-,Female,Deity,"Writing, learning","Grain, stylus",-,"Writing, learning",-,Enki,Nisaba (Nidaba),-,Various deities
Sumerian,Nidaba,God,"Goddess of writing, learning",-,Female,Deity,"Writing, learning","Grain, stylus",-,"Writing, learning",-,Enki,Nisaba,-,Various deities
Cheyenne,Nih'oke,Spirit,Spirit,Cheyenne Nation,Other,Spirit,Nature,,,Spirit,,,,,
Greek,Nike,God,Goddess of Victory,Mount Olympus,Female,Triumphant and Competitive,Victory,Wings,White,"Victory, success, competition",,Pallas,,,
Nez Perce,Nimi'ipuu,Spirit,Spirit,Nez Perce Region,Other,Spirit,Nature,,,Spirit,,,,,
Sumerian,Ninazu,God,God of the Underworld,Sumer,Male,"Underworld God, Healing","Underworld, Healing","Serpent, Healing Rod","Black, Green","Healing, Underworld",,Ninhursag,Enki,,
Sumerian,Ningal,God,Goddess of Reeds and Marshes,Sumer,Female,"Reeds, Marshes","Nature, Wetlands",Reed Bundle,Green,"Nature, Wetlands",Married,Ninhursag,Enki,Nanna,
Sumerian,Ningishzida,God,"God of the underworld, vegetation",-,Male,Deity,"Underworld, vegetation",Serpent,-,"Underworld, vegetation",-,-,-,-,Various deities
Sumerian,Ninhursag,God,"Mother Goddess, Lady of the Mountains",Sumer,Female,"Nurturing, Healing","Nature, Healing",Lush Vegetation,Green,"Nurturing, Healing",Married,,"An, Enki",Enki,"Enbilulu, Ninazu, Nisaba"
Sumerian,Ninhursag,God,"Mother goddess, associated with fertility",-,Female,Deity,"Fertility, nature",-,-,"Fertility, Nature",-,"Lahmu, Lahamu","Anu, Anshar",Enki,Various deities
Sumerian,Ninisina,God,Healing,Sumer,Female,Goddess,Healing,,,Healing,,,,,
Sumerian,Ninkasi,God,Goddess of beer and brewing,-,Female,Deity,"Beer, brewing",-,-,"Beer, brewing",-,Enki,Nisaba (Nidaba),-,Various deities
Assyrian,Ninlil,God,Goddess of the Air,Assyria,Female,Air Goddess,"Air, Wind, Agriculture","Grain, Cloud",Blue,"Fertility, Agriculture",Married,Ki,An,Enlil,"Many, including Ninurta"
Sumerian,Ninlil,God,Goddess of the Air,Sumer,Female,"Air Goddess, Wind","Air, Wind","Grain Sheaf, Wind","Blue, White","Air, Wind, Fertility",,,An,,"Ninurta, Nanna, Enlil, Inanna"
Sumerian,Ninmah,God,Creation,Sumer,Female,Goddess,Creation,,,Creation,,,,,
Sumerian,Ninsar,God,Vegetation,Sumer,Female,Goddess,Vegetation,,,Vegetation,,,,,
Sumerian,Ninsikil,God,Beer,Sumer,Female,Goddess,Beer,,,Beer,,,,,
Sumerian,Ninsubur,God,Messenger,Sumer,Female,Goddess,Messenger,,,Messenger,,,,,
Sumerian,Ninti,God,Rib,Sumer,Female,Goddess,"Healing, Rib",,,Rib,,,,,
Sumerian,Nintu,God,Birth,Sumer,Female,Goddess,Birth,,,Birth,,,,,
Assyrian,Ninurta,God,God of Agriculture and War,Assyria,Male,Warrior and Farmer,"Agriculture, War, Healing","Eagle, Plow, Bow and Arrows","Blue, Green","Agriculture, Victory",Married,Ishtar,Enlil,Bau,"Many, including Ninurta-banda"
Sumerian,Ninurta,God,God of Agriculture and War,Sumer,Male,"Warrior, Farmer","Agriculture, War","Winged Disc, Plow",Black,"Agriculture, Bravery, Victory",,Ninhursag,Enlil,,Various deities
Sumerian,Nisaba,God,Goddess of Grain and Writing,Sumer,Female,"Grain Goddess, Scribe","Grain, Writing","Grain Sheaf, Writing",Gold,"Grain, Writing, Knowledge",,Ninhursag,Enki,,
Norse,Njord,God,God of the Sea and Seafaring,Asgard,Male,Calm and Seafaring,"Sea, Seafaring","Ship, Sea Creatures","Blue, Gold","Seafaring, Prosperity",Married,,Not mentioned,Skadi,Freyr and Freyja
Icelandic,Njörðr,God,God of the Sea and Seafaring,Iceland,Male,Seafaring Deity,"Sea, Seafaring, Wealth","Ships, Sea",Gold,"Seafaring, Wealth",,,,,"Freyja, Freyr"
Sara,Nkasa,Spirit,"Crocodile spirit, guardian of rivers",Sara homeland,Female,Patient and Tenacious,"River protection, patience",Crocodile,Green,"River protection, patience",,,,,
Sara,Nkiro,Spirit,"Python spirit, symbol of transformation",Sara homeland,Female,Wise and Transformative,"Wisdom, change",Python,Brown,"Wisdom, adaptability",,,,,
Ojibwe,Nokomis,Spirit,Earth Spirit,Ojibwe Regions,Female,Spirit,"Earth, Motherhood","Earth, Corn",,Motherhood,,,,,
Zulu,Nomkhubulwane,God,"Goddess of rain, agriculture, and fertility",Earth,Female,Nurturing and Abundant,"Rain, agriculture, fertility","Grain, raindrops","Green, brown","Fertility, abundance",,,,,
Sardinian,Noraia,God,Goddess of the Sea,Sardinia,Female,Maritime and Protective,"Sea, protection",Waves,Blue,"Maritime activities, protection",,,,,
Norse,Norns,Spirit,Fates who Weave the Threads of Destiny,Norns' Well,Female,Enigmatic and Inevitable,"Destiny, Fate","Thread, Well",Grey,"Destiny, Inevitability",,Not specified,Not specified,,
Cheyenne,Notanevona,Spirit,Spirit,Cheyenne Nation,Other,Spirit,Nature,,,Spirit,,,,,
Scottish/Irish,Nuada Silverhand,God,King of the Tuatha De Danann,Ireland,Male,Regal and Skilled in Combat,"Leadership, Combat","Silver Arm, Sword",Silver,"Leadership, Combat",,,,,
Mixtec,Ñuhuè,God,Goddess of Water,Mesoamerica,Female,Water and Aquatic Life,"Water, Rivers",Water Symbols,Blue,"Water, Life",,,,,
Inuit,Nuliajuk,God,Sea Goddess and Mother of Sea Mammals,Arctic Regions,Female,Nurturing and Protective,"Sea, Sea Mammals","Sea, Whale","Blue, White","Sea Life, Motherhood",,,,,"Many, including sea mammal spirits"
Nenets,Num,God,"Creator God, Source of All Life",Nenets Region,Other,Benevolent and Creative,"Creation, Life","Sun, Reindeer",Gold,"Creativity, Life",,,,,"Many, including lesser deities"
Spanish,Numantia,God,Goddess of the City of Numantia,Numantia (Spain),Female,Protective and Resilient,"City, Protection","City Walls, Shield","Brown, Gold","City, Protection",,,,,
Spanish,Numinos,God,God of the Sacred,Iberian Peninsula,Male,Sacred and Divine,"Sacred, Divine",Sacred Symbols,"White, Gold","Sacred, Divine",,,,,
Nenets,Num-Koyan,God,Goddess of Fire,Nenets Region,Female,Transformative and Cleansing,"Fire, Purification","Flames, Torch","Red, Orange","Transformation, Cleansing",,,,,"Many, including hearth spirits"
Siberian,Num-Torum,God,"Creator God, Master of All Spirits",Siberia,Male,Wise and Benevolent,"Creation, Spirituality","Solar Disc, Eagle",Gold,"Wisdom, Spirituality",,,,,"Many, including Ak Ana"
Turkish,Num-Torum's Sons,Human,Heroes,Turkic Regions,Male,Heroes,Heroism,Weapons,,Heroism,,,,,
Nenets,Num-Toyon,God,God of the Sun and Day,Nenets Region,Male,Radiant and Warm-hearted,"Sun, Day","Sun, Deer Antlers",Gold,"Light, Warmth",,,,,"Many, including lesser deities"
Nenets,Num-Urka,God,God of the Earth and Nature,Nenets Region,Male,Grounded and Protective,"Earth, Nature","Mountain, Tree","Brown, Green","Grounding, Nature",,,,,"Many, including nature spirits"
Egyptian,Nun,God,Primordial deity of the primordial waters,Egypt,Other,Watery Abyss,"Primordial Waters, Chaos","Water, Infinite Expanse",Blue,"Primordial Waters, Chaos, Potential",,,,,Various Primordial Beings
Sardinian,Nur,God,Earth and Fertility Goddess,Sardinia,Female,Fertile and Life-Giving,"Earth, fertility",Grain,Brown,"Fertility, abundance",,,,,
Ainu,Nusa Kamuy,God,the community-founding kamuy,Ainu,Male,Deity,he represents the dead and serves as a messenger to the other kamuy,,,the community-founding kamuy,,,,,
Sumerian,Nuska,God,Fire,Sumer,Male,God,Fire,,,Fire,,,,,
Sumerian,Nusku,God,God of fire and light,-,Male,Deity,"Fire, light","Fire, Lamp",-,"Fire, light",-,Anu,Ki (Ninhursag),-,Various deities
Egyptian,Nut,God,Sky Goddess,Egypt,Female,Goddess,"Sky, Stars","Starry Sky, Cow",Blue,Infinity,,Tefnut,Shu,,"Osiris, Isis, Seth"
Ainu,Nutune Kamuy,God,Sea,Ainu,Male,Deity,Sea,,,Sea,,,,,
Chinese,Nuwa,God,Creator Goddess,China,Female,Creator of Humans,"Creation, Humanity, Balance","Serpent Tail, Palettes",Multicolor,"Creation, Balance, Harmony",Married,,,Fuxi,Humanity
Chinese,Nüwa,God,"Creator Goddess, Shaper of Humanity",Earth,Female,Creative and Caring,"Creation, Humanity","Serpent, Clay Figurines",Multicolored,"Creativity, Caring",,,,,Humanity
Indonesian,Nyai Roro Kidul,God,"Queen of the Southern Sea, Goddess of the Underworld",Indian Ocean,Female,Mysterious and Powerful,"Sea, Underworld","Ocean, Green Color",Green,"Mystery, Sea",,,,,
Akan,Nyame,God,"Sky god, Supreme God",Sky,Male,Supreme Deity,"Creation, life","Sun, moon",Gold,"Creation, life",,,,,Onyankapon 
Nenets,Nyrylgyn,God,God of Dreams and Visions,Nenets Region,Male,Mysterious and Inspirational,"Dreams, Visions","Moon, Star","Silver, Blue","Imagination, Inspiration",,,,,"Many, including dream spirits"
Sao,Oba,God,Goddess of rivers and wealth,Rivers,Female,Wealthy and Benevolent,"Rivers, wealth",River current,Blue,"Wealth, prosperity, river blessings",,Yemoja,Olokun,,Various river and wealth deities
Sao,Obatala,God,"God of wisdom, purity, and creation",Sky,Male,Wise and Pure,"Wisdom, purity, creation",Ivory staff,White,"Wisdom, purity, creative expression",,Olodumare,,,Various wisdom and creation deities
Yoruba,Obatala,God,God of Wisdom and Purity,Yoruba lands,Male,"Wise, Pure","Wisdom, Peace",White Cloth,White,"Wisdom, Peace",,Yemoja,Olorun,,Orunmila
