Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children,Name-Greek,Name-Greek
yoruba,ochosi,god,god of hunting and justice,yoruba lands,male,"hunter, just","hunting, justice",bow and arrow,"blue, yellow","hunting, justice",married,yemoja,olorun,oshun,orunmila,,
yoruba,ochun,god,goddess of rivers and love,yoruba lands,female,"sweet, compassionate","rivers, love","rivers, mirror",yellow,"love, compassion",married,yemoja,olorun,shango,"oya, ogun",,
sao,ode,god,"god of hunting, wilderness, and abundance",forests,male,wild and abundant,"hunting, wilderness, abundance",bow and arrow,green,"hunting skills, abundance, nature",,olodumare,,,various hunting and wilderness deities,,
norse,odin,god,"allfather, god of wisdom and war",asgard,male,all-fatherly,wisdom and creation,"gungnir (spear), wolves","blue, silver","wisdom, creation",married,bestla,borr,"frigg, many others","many, including thor, loki",,
vodou,ogun,god,god of war and iron,"haiti, new orleans",male,"warrior, smith, protector","war, iron, labor","machete, sword, anvil","red, blue","warrior code, labor",married,bondye,,erzulie freda,"many, including ghede",,
sao,ogun,god,"god of iron, war, and labor",earth,male,courageous and industrious,"iron, war, labor",machete,iron gray,"strength, labor, protection",,olodumare,,,various iron and war deities,,
caribbean,ogun,spirit,warrior spirit,"haiti, cuba, trinidad",other,"warrior, blacksmith","war, iron, labor","machete, anvil","iron, black","strength, hard work",,,,,,,
yoruba,ogun,god,god of iron and war,yoruba lands,male,"warrior, smith","war, iron",iron tools,iron gray,"courage, strength",married,yemoja,olorun,oshun,shango,,
scottish/irish,oisin,human,"poet and warrior, son of fionn mac cumhaill",ireland,other,poetic and skilled in combat,"poetry, combat","harp, sword","green, blue","poetry, combat",married,sadb,fionn mac cumhaill,niamh,,,
powhatan,okeus,god,supreme being and source of all existence,powhatan confederacy,other,supreme being,"creation, existence, universal power",cosmic symbols,cosmic colors,"existence, universal power",,,,,,,
powhatan,okeusuwah (evening star),spirit,evening star spirit and guardian of night,powhatan confederacy,other,evening star spirit,"evening star, night, comfort",celestial symbols,black,"night, comfort",,,,,,,
ainu,okikurumi,god,creator god,ainu regions,male,god,creation,"mountains, sea",,creation,,,,,,,
yoruba,olabayi,god,sky god,yoruba regions,male,god,"sky, weather","sky, thunder",blue,"sky, weather",,,,,,,
nez perce,old man coyote,spirit,trickster,nez perce region,other,spirit,trickery,coyote,,humor,,,,,,,
sao,olodumare,god,"supreme deity, creator of the universe",cosmos,other,wise and transcendent,"creation, order",solar disk,gold,"creation, order, cosmic balance",,,,,all beings and aspects of existence,,
dahomey,olokun,god,goddess of the sea and wealth,sea,female,wealthy and mysterious,"sea, wealth","fish, pearls",blue,"wealth, mystery",,,,,,,
sao,olokun,god,goddess of the sea and wealth,oceans,female,enigmatic and wealthy,"sea, wealth",conch shell,blue,"wealth, abundance, oceanic mysteries",,olodumare,,,various sea and wealth deities,,
yoruba,olorun,god,supreme deity,yoruba cosmology,other,"creator, source","creation, order","sun, light",gold,"creation, cosmic order",,,,,,,
maasai,oltaiyoni,spirit,spirit of the mountain,maasai regions,other,spirit,"mountain, guardian",mountain symbols,,"mountain, guardian",,,,,,,
yanomami,omama,god,sky goddess and mother of humans,amazon rainforest,female,maternal sky deity,"sky, humans, fertility","sky, celestial symbols",blue,"fertility, life",,,,,humans,,
olmec,ometeotl,god,dual-deity (ome and teotl),mesoamerica,other,cosmic creator,"creation, dualism","dual faces, abstract symbols",,"creation, balance",,,,,,,
aztec,ometeotl,god,supreme deity embodying duality and unity,mesoamerica,other,cosmic duality,"duality, unity, creation",dual faces,,"duality, unity, balance, creation",,,,,various deities,,
iroquois,ondonti,spirit,spirit,iroquois nations,other,spirit,"nature, water","water, river",,"nature, water",,,,,,,
vietnamese,ông tao,god,"kitchen god, overseer of household",earth,male,observant and reporting,household affairs,"stove, whisk",red,household harmony,,,,,,,
mongolian,ongon,spirit,household spirits and ancestral guardians,earth,other,protective and ancestral,"household, ancestral spirits",ancestral symbols,varies,"ancestral worship, protection",,gazar eej,udgan eej,,,,
roman,ops,god,goddess of plenty,italy,female,abundant and nurturing,"abundance, harvest",sheaf of wheat,green,"abundance, harvest",,,,,,,
yoruba,ori,spirit,guardian spirit,yoruba region,other,spirit,"destiny, inner head",head symbol,,destiny,,,,,,,
tahitian,oro,god,god of war and fertility,"war, fertility",male,warlike and fertile,"war, fertility, music","war clubs, war symbols",red,"war, fertility, music",,sky father,earth mother,,"many, including war and fertility spirits",,
sao,orun,spirit,collective term for ancestral spirits and deceased individuals,cosmos,other,ancestral and ethereal,ancestral connections,ancestral spirits,varied,"ancestral guidance, remembrance",,olodumare,,,various ancestral spirits,,
sao,orunmila,god,"god of wisdom, divination, and knowledge",cosmos,male,wise and knowledgeable,"divination, wisdom",divination tools,green,"wisdom, knowledge, foresight",,olodumare,,,various divinatory and wisdom deities,,
yoruba,orunmila,god,god of wisdom and divination,yoruba lands,male,"wise, knowledgeable",divination,"opele chain, iroke",green,"wisdom, divination",,yemoja,olorun,,orunmila,,
sao,osanyin,god,"god of herbs, healing, and mystical knowledge",forests,male,wise and healing,"herbs, healing, mystical knowledge",bundle of herbs,green,"healing, herbal knowledge, mysticism",,olokun,orunmila,,various herb and healing deities,,
creek,oshito,spirit,sun spirit,creek nation,other,spirit,sun,sun,,sun spirit,,,,,,,
sao,oshosi,god,"god of hunting, justice, and divination",forests,male,just and skilled,"hunting, justice, divination",bow and arrow,green,"justice, divination, hunting skills",,olokun,obatala,,various hunting and justice deities,,
yoruba,oshumaré,god,rainbow deity,yoruba region,other,deity,rainbow,rainbow,,transformation,,,,,,,
sao,oshun,god,"goddess of love, fertility, and rivers",rivers,female,sensual and nurturing,"love, fertility, rivers",water jug,yellow,"sensuality, fertility, creativity",,olodumare,,,various love and river deities,,
yoruba,oshun,god,goddess of love and fertility,yoruba lands,female,"sweet, sensual","love, fertility","rivers, honey",yellow,"love, fertility",married,yemoja,olorun,shango,"oya, ogun",,
yoruba,oshun,god,"goddess of love, fertility, and rivers",west africa,female,deity,"love, fertility, rivers","rivers, fan",yellow,"love, fertility, wealth",-,oduduwa,obatala,-,various deities,,
egyptian,osiris,god,god of the afterlife,duat (underworld),male,"resurrected and ruler of the underworld,",death and afterlife,"crook and flail,","gold, yellow","afterlife, resurrection",married,isis,osiris,"isis, nephthys","many, including hapi, kebechsenef,",,
egyptian ,osiris,god,"god of the afterlife, associated with resurrection",egypt,male,deity,"afterlife, resurrection",crook and flail,green,"afterlife, resurrection",-,nut,geb,isis,"horus, anubis, set",,
sao,osun,god,"goddess of love, fertility, and rivers",rivers,female,loving and fertile,"love, fertility, rivers",heart,yellow,"love, fertility, emotional well-being",,olodumare,,,various love and river deities,,
iroquois,owayeonh,spirit,spirit,iroquois nations,other,spirit,"wind, air",wind,,"wind, air",,,,,,,
sao,oya,god,"goddess of wind, storms, and transformation",sky,female,powerful and transformative,"wind, storms, transformation",tornado,purple,"change, transformation, vitality",,olodumare,,,various wind and storm deities,,
yoruba,oya,god,goddess of wind and transformation,yoruba lands,female,"fierce, transformative","wind, change","winds, tornadoes",burgundy,"change, transformation",married,yemoja,olorun,shango,,,
inca,pachamama,god,sun god,koricancha (golden temple),male,creator and life,creation and life,"sun disk, corn cob","gold, black","creation, life",married,viracocha,viracocha,"mama quilla,","many, including xochiquetzal,",,
egyptian,pakhet,god,lioness goddess,egypt,female,goddess,"hunting, war",lioness,gold,"hunting, war",,,,,,,
buddhist,palden lhamo,god,guardian goddess,tibet,female,wrathful protector,"protection, terrifying aspect","mule, trampling demon",blue/black,"protection, justice",,,,,,,
tibetan,palden lhamo,god,guardian goddess,tibetan buddhism,female,deity,"protection, wrath","mule, blue lotus",blue,"protection, wrath",,,,,,,
sicilian,palici,god,twin gods of geysers and springs,sicily,male,protective and benevolent,"geysers, springs","springs, geysers",blue,"purification, protection",,,,,,,
greek,pan,god,god of the wild,greek,male,wild god,"nature, music","goat, pan pipes",brown,"nature, music",,,hermes,,,,
greek,panacea,god,goddess of healing,mount olympus,female,healing and soothing,"healing, medicine",bowl of medicine,green,"healing, health, wellness",,asclepius,epione,,,,
caribbean,papa bois,spirit,nature and forest spirit,trinidad and tobago,other,guardian of nature,"forests, wildlife, nature conservation","horns, cloak of leaves","green, brown","nature, conservation",,,,,,,
caribbean,papa legba,god,gatekeeper and loa of crossroads,"haiti, vodou",other,guardian of crossroads,"communication, opportunity, spirituality","old man, crossroads symbol","red, black","communication, opportunity",,bondye,maman brigitte,,"many, including ghede",,
polynesian,papatūānuku,god,"earth goddess, mother of all",earth,female,nurturing and protective,"earth, nature",earth,brown,"nature, motherhood",,,,,various nature-related beings,,
sumerian,papsukkal,god,messenger,sumer,other,god,messenger,,,messenger,,,,,,,
zoroastrian,parendi,spirit,spirit of victory,-,other,deity,victory,-,-,victory,-,-,-,-,various deities,,
hindu,parvati,god,goddess of power and love,mount kailash,female,gentle and fierce,"love, motherhood","trishula, lotus",red,"power, love",married,himavan,,shiva,"ganesha, kartikeya",,
powhatan,paukunawaw,spirit,sun spirit and guardian of day,powhatan confederacy,other,solar spirit,"sun, day, light","sun disk, radiant symbols","yellow, red","light, warmth",,,,,,,
nenets,peksegei,god,god of thunder and lightning,nenets region,male,powerful and thunderous,"thunder, lightning","thunderbolt, drum","blue, white","power, energy",,,,,"many, including storm spirits",,
hawaiian,pele,god,"goddess of fire, volcanoes, and creator","fire, volcanoes",female,"passionate and creative, destructive","fire, volcanoes, creation","fire, lava, hibiscus flower","red, yellow","transformation, creativity, passion",,haumea,kane milohai,kamapua'a,"many, including fire and lava spirits",,
baltic,perkūnas,god,god of thunder and the sky,sky,male,thunderous and protective,"thunder, protection, war","axe, thunderbolts","red, gold","protection, war",,saule,dievas,,"many, including giants and demons",,
greek,persephone,god,goddess of spring and the underworld,underworld,female,compassionate and resilient,"spring, afterlife",pomegranate,green,"renewal, transition, growth",married,demeter,zeus,hades,,,
slavic,perun,god,god of thunder and lightning,sky,male,thunderous and strong,"thunder, storms","axe, hammer","red, white","power, courage",,svarog,svarog,,"many, including veles",,
laotian,phi am,spirit,guardian spirit of places,specific locations,other,protective and localized,local protection,"offerings, statues",varies,local guardian,,,,,,,
laotian,phi kong koi,spirit,house spirit,houses,other,mischievous and protective,"homes, protection","ancestral altar, incense",white,"home, protection",,,,,,,
laotian,phi phrai,spirit,ghost spirit,spirit realm,other,vengeful and restless,"ghostly haunting, revenge",ghostly apparition,grey,"restless spirits, vengeance",,,,,,,
laotian,phi pop,spirit,spirit of the ancestors,ancestral spirits,other,respectful and ancestral,"ancestral worship, guidance","ancestral altar, offerings",white,ancestral connection,,,,,,,
laotian,phya khankhaak,god,god of the sky and weather,sky,male,powerful and commanding,"sky, weather","clouds, lightning",blue,"power, authority",,,,,,,
laotian,phya naga,god,"serpent deities, guardians of water","rivers, waters",other,protective and serpentine,"water, protection","serpent, water",blue,"protection, water",,,,,,,
mapuche,pillán,spirit,spirits of ancestors and natural forces,mapuche territory,other,ancestral spirits,"nature, elements, protection","wind, lightning, natural symbols",various,ancestral connection,,,,,,,
inuit,pinga,god,goddess of the hunt and fertility,arctic regions,female,nurturing and skillful,"hunting, fertility",bow and arrows,"green, brown","fertility, hunting success",,,,,"many, including animal spirits",,
ainu,pirka-us kamuy,god,marsh,ainu,other,deity,marsh,,,marsh,,,,,,,
zapotec,pitao cozobi,god,god of maize and rain,mesoamerica,male,maize god and rain god,"maize, rain, agriculture",maize symbols,green,"maize, rain, agriculture",,,,,,,
roman,pluto,god,god of the underworld,rome,male,mysterious and underworldly,"underworld, wealth",cerberus,black,"underworld, wealth",married,saturn,ops,proserpina,,,
polynesian,po,god,personification of darkness,underworld,other,enveloping and mysterious,"darkness, night",night sky,black,appreciation of night,,,,,various night-related beings,,
hawaiian,po,spirit,primordial darkness and chaos,hawaii,other,cosmic darkness,"darkness, chaos, primordial state",,,"darkness, chaos, origin",,,,,various cosmic forces,,
nenets,poley,god,goddess of the hearth and home,nenets region,female,domestic and protective,"hearth, home","hearth, cooking utensils","red, brown","hearth, home",,,,,"many, including household spirits",,
hawaiian,poliahu,god,snow goddess,hawaii,female,goddess,"snow, ice",snowflakes,white,snow goddess,,,,,,,
hawaiian,poli'ahu,god,goddess of snow and ice,mountains,female,graceful and pure,"snow, ice",snowflakes,white,"purity, beauty",,,,,various ice-related beings,,
greek,poseidon,god,god of the sea,olympus,male,powerful and unpredictable,sea and earthquakes,"trident, horse","blue, green","power, unpredictability",married,rhea,cronus,"amphitrite, many others,","many, including triton",,
cambodian,preah thaong and neang neak,god,legendary lovers,earth,other,romantic and courageous,"love, adventure","heart, sword",red,"love, courage",married,,,each other,children together,,
communist,proletariat,human,champions of the working class,global,other,working class heroes,"equality, social justice",hammer and sickle,red,"equality, workers' rights, solidarity",married,collective,collective,collective,collective,,
capitalist,prosperity,god,goddess of wealth and prosperity,global,female,wealth accumulator,"prosperity, commerce, success","coins, abundance",gold,"prosperity, wealth, success",,,,,"fortune, fortune",,
greek,proteus,god,"sea god, shape-shifter",greece,male,shapeshifter,"sea, change, wisdom",shape-shifting abilities,blue,"adaptability, wisdom, change",,poseidon,nereus,,,,
egyptian,ptah,god,creator god and craftsman,memphis,male,creative and skilled,"creation, craftsmanship","bull, djed pillar",navy blue,"creation, craftsmanship",,,,,,,
gnostic,ptahil,god,"demiurge, creator of the material world",gnostic,other,"demiurge, creator",material creation,,,"material creation, order",,,,,,,
lakota,ptehe wakinyan,spirit,thunderbird spirit,lakota nation,other,spirit,"thunder, lightning",thunderbird,,"thunder, lightning",,,,,,,
lakota,ptesan wi,spirit,white buffalo calf,lakota nation,other,spirit,prophecy,white buffalo calf,white,prophecy,,,,,,,
norman,puck,spirit,mischievous spirit,normandy,other,trickster spirit,"mischief, pranks",mischievous symbols,green,"mischief, humor",,,,,,,
hawaiian,pukalani,god,goddess,hawaii,female,goddess,"beauty, agriculture",flowers,,"beauty, agriculture",,,,,,,
algonquin,pukawiss,spirit,spirit,algonquin regions,other,spirit,"wind, dreams","wind, dreamcatcher",,"wind, dreams",,,,,,,
inuit,pukimnaq,god,sea ice god,arctic regions,male,solid and unyielding,sea ice,sea ice,"blue, white","stability, solidity",,,,,sea ice spirits,,
polynesian,punga,god,god of sharks and sea creatures,"ocean, seas",male,mysterious and predatory,"sharks, sea creatures","sharks, sea creatures",various,balance in nature,,,,,various sea creatures,,
sumerian,puzur-amurri,god,purification,sumer,other,god,purification,,,purification,,,,,,,
yazidi,qadis,spirit,angelic being,yazidi,other,angelic being,"holiness, purity",,white,"holiness, purity",,,,,,,
yazidi,qawalish,anthropomorphism,sacred being,yazidi,other,sacred being,"holiness, purity",,white,"holiness, purity",,,,,,,
arab,qaynan,god,god of carpentry and metalwork,arabian peninsula,male,skilled artisan and builder,"carpentry, metalwork, craftsmanship",hammer and anvil,brown,"craftsmanship, artistry",,,,,,,
sumerian,qingu,god,rebellion,sumer,other,god,rebellion,,,rebellion,,,,,,,
chinese,quan yin,god,goddess of compassion,heaven,female,compassionate and merciful,compassion and mercy,"willow branch, lotus","gold, white","compassion, mercy",married,emperor,jade emperor,"many, including golden cicada","many, including amatsu mikaboshi",,
canaanite,qudshu (qadesh),god,goddess of love,-,female,deity,"love, sacred sexuality",-,-,love and sacred sexuality,-,-,-,-,-,,
toltec,quetzalcoatl,god,feathered serpent god,mesoamerica,male,creator and wind god,"creation, wind, learning","feathered serpent, wind",white,"wisdom, creation",,,,,,,
aztec ,quetzalcoatl,god,feathered serpent god,mesoamerica,male,creator and wind god,"creation, wind",feathered serpent,blue,"creation, wind, wisdom",-,coatlicue,mixcoatl,-,various deities,,
roman,quirinus,god,god of war and protection,italy,male,protective and warlike,"war, protection",spear,red,"protection, war",,,,,,,
egyptian,ra,god,sun god,heliopolis,male,radiant and powerful,"sun and light,","sun disk, falcon","red, orange","sun, light",married,nut,ra,"isis, nephthys","horus, anubis",,
hindu,radha,god,goddess of love and devotion,vrindavan,female,devoted and compassionate,"love, devotion","lotus, veena",rose pink,unconditional love,married,"kirti, vrishabhan",,krishna,various consorts,,
sami,radien,god,supreme god and creator,sami lands,male,wise and benevolent,"creation, wisdom","sun, sky",yellow,"creation, wisdom",,,,,"many, including nature spirits",,
sami,radien-attje,god,"son of radien, guardian of nature and wilderness",sami lands,other,protector of nature,"nature, wilderness","trees, animals","green, brown","nature, wilderness",,radien,maderakka,,"many, including nature spirits",,
egyptian,ra-horakhty,god,sun god,egypt,male,god,"sun, kingship","sun disk, falcon",gold,kingship,,nut,geb,,"shu, tefnut",,
shinto,raijin,god,god of thunder and lightning,sky,male,powerful and destructive,"thunder, lightning","drum, drumsticks","red, black","power, destruction",,,,,"many, including fujin",,
aboriginal,rainbow serpent,anthropomorphism,"creator of landscapes, waterways, and life","land, waterways",other,creative and transformative,"creation, shaping the land","rainbow, serpent",various,"creation, transformation",married,,,"various, including daramulum",various land and water creatures,,
fijian,raiqeu,god,god of thunder and lightning,sky,male,powerful and destructive,"thunder, lightning",lightning bolt,various,"power, awe",,,,,various storm-related beings,,
norse,ran,god,"sea goddess, associated with the drowned",scandinavia,female,sea goddess,"sea, drowned souls",sea waves,blue,"sea, grief, compassion",married,,,aegir,various offspring,,
sami,rana-niejta,god,goddess of the sea and ocean,sami lands,female,vast and mysterious,"sea, ocean","waves, sea creatures","blue, green","vastness, mystery",,,,,"many, including sea spirits",,
indonesian,rangda,god,"demon queen, symbol of chaos",bali,other,chaotic and malevolent,"chaos, destruction","fangs, skull",black,"chaos, destruction",,,,,,,
polynesian,rangi,god,"sky god, father of all",sky,male,protective and overarching,"sky, cosmic balance",sky,blue,cosmic balance,,,,,various celestial beings,,
jewish,raphael,spirit,archangel of healing,heaven,other,healer and protector,"healing, guidance, travel",healing staff,green,"compassion, healing",,,,,,,
persian,rashnu,god,god of truth and justice,persia,male,fair and impartial,"truth, justice",scales,blue,"truth, justice",,,,,,,
zoroastrian,rashnu,god,judge of souls in the afterlife,-,other,deity,judgment in the afterlife,scales,-,judgment in the afterlife,-,-,-,-,various deities,,
norse,ratatoskr,spirit,squirrel messenger between yggdrasil and nidhogg,yggdrasil and nidhogg,other,talkative and mischievous,"messaging, mischief",squirrel,brown,"communication, mischief",,,,,,,
fijian,ratu sunusi,god,god of war and chief of the war gods,war,male,fierce and strategic,"war, leadership",war clubs,red,"courage, strategic thinking",,,,,various war-related beings,,
fijian,ratumaibulu,god,goddess of fertility and agriculture,agriculture,female,fertile and nurturing,"agriculture, fertility",fertility symbols,green,agricultural abundance,,,,,various agricultural beings,,
tlingit,raven,human,trickster hero and creator of the world,tlingit nation,other,trickster hero,"creation, trickery, transformation","raven, trickster symbols",black,"creativity, humor, transformation",,sky woman,,,various (including humans),,
atheist,reason,human,advocate of rational thinking,global,other,rational thinker,"science, logic, critical thinking","open book, telescope",blue,"reason, science, critical thinking",,,,,enlightenment,,
phoenician,resheph,god,god of plague,phoenician regions,male,god,"plague, war","plague, bow",,"plague, war",,,,,,,
canaanite,resheph,god,god of plague,-,male,deity,"plague, healing",bow and arrow,-,plague and healing,-,-,-,-,various deities,,
greek,rhea,god,"titaness, mother of the gods",greek,female,"titaness, mother","motherhood, fertility","lion, crown",green,"motherhood, fertility",married,uranus,gaia,cronus,"zeus, hera, poseidon, hades",,
slavic,rod,god,primordial deity of ancestry and kinship,eastern europe,other,ancestral essence,"ancestry, kinship, life",ancestral lineage,brown,"ancestry, kinship, family bonds",,,,,various ancestral spirits,,
maori,rongo,god,god of cultivated plants and peace,gardens,male,peaceful and agricultural,"cultivated plants, peace","cultivated plants, peace","green, brown","agriculture, peace",,papatuanuku,ranginui,,"many, including plants and peace spirits",,
polynesian,rongo,god,god of agriculture and peace,land,male,"peaceful, fertile  nurturing","agriculture, prosperity, plants","agricultural tools, cultivated crops",green,"peace, prosperity, agricultural abundance",,papatūānuku,rangi,,various plant-related beings,,
tahitian,rongo,god,god of peace and cultivated plants,agriculture,male,harmonious and nurturing,"agriculture, plants",cultivated crops,various,"peace, agricultural abundance",,,,,various agricultural beings,,
tahitian,ro'o,god,god of agriculture and fertility,agriculture,male,nurturing and fertile,"agriculture, fertility",fertile soil,green,agricultural abundance,,,,,various agricultural beings,,
polynesian,rūaumoko,god,god of earthquakes and volcanoes,underground,male,powerful and unpredictable,"earthquakes, volcanic activity","earth, fire",red,respect for natural forces,,papatūānuku,rangi,,various volcanic beings,,
arab,ruda,god,goddess of love and beauty,pre-islamic arabia,female,radiant and loving,"love, beauty, joy",flower,pink,"love, joy",,,,,,,
hindu,rudra,god,"praised as the ""mightiest of the mighty"", deity associated with storms and destructive forces, rudra is sometimes considered a fearsome and powerful aspect of lord shiva",natural elements and cosmic forces,other,"fierce, benevolent","while associated with destruction, rudra is also a healer and a purifier. destroyer and transformer: rudra is often recognized as the destructive and transformative aspect of the divine trinity in hinduism, alongside brahma (the creator) and vishnu (the preserver). as the destroyer, rudra facilitates the process of dissolution, making way for regeneration and new creation."," storms, such as lightning and the drum (damaru)","red, shades of blue",rudra is considered a form of lord shiva,married,-,brahma,"rudrani, parvati",birth of eleven rudras from rudra's face,,
hindu,rudrani,god,"parvati is the daughter of the mountain king himalaya and is considered the reincarnation of sati, the first wife of shiva. ",natural elements and cosmic forces,other,devotion and love,"rudrani, she represents the gentle and nurturing aspect of shiva.","lotus, trishula (trident), vahana (mount), third eye, moon crescent, nandi (bull), veena (musical instrument)","red, shades of blue",shakti and shiva unity: the union of rudra (shiva) and rudrani (parvati) symbolizes the unity of shakti (divine feminine energy) and shiva (divine masculine energy),married,parvati,shiva,"rudra, shiva","kartikeya, ganesha",,
gnostic,ruha,spirit,"holy spirit, divine feminine",gnostic,other,divine feminine,spiritual guidance,"dove, holy fire",white,"spiritual guidance, wisdom",,,,,,,
sami,ruto,spirit,male water spirit,sami lands,other,powerful and commanding,"water, lakes","waves, water",blue,"power, command",,,,,spirits of water,,
arab,safa,god,goddess of purity and serenity,mecca,female,pure and serene,"purity, serenity",lotus flower,white,"purity, serenity",,,,,,,
iroquois,sagakwetah,spirit,spirit,iroquois nations,other,spirit,"thunder, lightning",thunderbolt,,thunder,,,,,,,
christian,saint anthony of padua,human,patron of lost things,italy,other,franciscan friar,"finding lost items, miracles","lily, infant jesus",brown,"compassion, helpfulness",,martin de alho,teresa tavejra,,,,
christian,saint augustine of hippo,human,theologian and bishop,algeria,other,theologian,"theology, confessions","heart, bishop's mitre","red, white","theology, repentance",,saint monica,patricius,,adeodatus,,
christian,saint francis of assisi,human,patron of animals,italy,other,humble monk,"nature, animals","animals, tau cross","brown, grey","humility, love for nature",,pica bernardone,pietro bernardone,,,,
christian,saint gabriel,spirit,"archangel, messenger",heaven,other,divine messenger,"annunciation, guidance","trumpet, lily",white,"communication, purity",,,,,,,
christian,saint ignatius of loyola,human,founder of jesuits,spain,other,jesuit priest,"education, spiritual exercises","sun, book symbols","red, blue","education, spirituality",,maría de loyola,beltrán de onaz,,,,
christian,saint joseph,human,guardian and protector,nazareth,other,just man,"protection, fatherhood","lily, carpentry tools",brown,"humility, protection",,,,,jesus christ (stepfather),,
christian,saint mary,human,mother of jesus,jerusalem,other,virgin mother,"motherhood, compassion","rose, lilies","blue, white","motherhood, purity",,anne,joachim,,jesus christ,,
christian,saint michael,spirit,"archangel, protector",heaven,other,angelic warrior,"protection, defending","sword, shield",blue,"courage, strength",,,,,,,
alsatian,saint odile,human,patron saint,alsace,other,saintly figure,"patronage, miracles",christian symbols,white,"devotion, compassion",,,,,,,
christian,saint paul,human,apostle and missionary,various,other,missionary,"evangelism, letters","sword, book symbols","red, white","evangelism, courage",,,,,,,
christian,saint peter,human,apostle and first pope,"rome, vatican",other,faithful apostle,"leadership, keys","keys, papal symbols","gold, white","faith, leadership",,,,,,,
christian,saint raphael,spirit,"archangel, healer",heaven,other,divine healer,"healing, guidance","staff, fish",green,"health, guidance",,,,,tobias,,
christian,saint teresa of avila,human,mystic and writer,spain,other,mystic nun,"prayer, contemplation","heart, quill pen",white,"prayer, spirituality",,beatriz de ahumada,alonso sánchez de,,,,
spanish,salacia,god,goddess of saltwater and the sea,iberian peninsula,female,salty and oceanic,"saltwater, sea","salt, dolphins","blue, silver","saltwater, sea",married,,,neptune,,,
jewish,samael,spirit,angel of severity or venom,heaven,other,angel of death or poison,"judgment, severity, accuser","sword, serpent",red,"justice, consequence",,,,,,,
korean,samshin halmoni,god,goddess of birth and life,earth,female,protective and compassionate,"protection, childbirth",protective aura,white,"protection, motherhood",,,,,,,
jewish,sandalphon,spirit,archangel of prayer,heaven,other,deliverer of prayers to god,"prayer, connection, spiritual communication","harp, wings",white,"devotion, communication",,,,,,,
indonesian,sang hyang widhi,god,supreme god in balinese hinduism,"bali, indonesia",male,transcendent and benevolent,"creation, spiritual harmony","lotus, sacred symbols",white,"transcendence, harmony",,,,,,,
sami,sarakka,god,goddess of the hearth and home,sami lands,female,warm and nurturing,"hearth, home","hearth, fire","red, yellow","home, hearth",,,,,"many, including hearth spirits",,
hindu,saraswati,god,"goddess of knowledge, music, and arts",,female,wise and artistic,"knowledge, music, arts","veena, book, swan",white,"knowledge, artistic expression",married,,,brahma,,,
assyrian,sarpanitu,god,queen of the gods,assyria,male,queen of the gods,"motherhood, fertility, queenship","tiara, lion","red, gold","motherhood, queenship",,lahmu,lahamu,,"marduk, nabu",,
shinto,sarutahiko,god,deity,japan,other,deity,"guidance, crossroads","sword, dog",,"guidance, crossroads",,,,,,,
roman,saturn,god,god of time and agriculture,italy,male,wise and agricultural,"time, agriculture",sickle,brown,"agriculture, patience",,,,,,,
baltic,saule,god,goddess of the sun,sky,female,radiant and warm,"sun, light","sun disk, radiant symbols","gold, yellow","radiance, warmth",,baltic,baltic,,"many, including meness",,
siberian,sayan,god,god of mountains and nature,siberia,male,stoic and powerful,"mountains, nature","mountain peaks, trees","brown, green","nature, strength",,,,,"many, including spirits of nature",,
inuit,sedna,god,"goddess of the sea, marine animals, and underworld",arctic regions,female,protective and enigmatic,"sea, marine life, underworld","fish, sea creatures","blue, white","protection, abundance, transformation",,,,,various sea creatures,,
egyptian,sekhmet,god,goddess of war and healing,egypt,female,lioness warrior,"war, healing, protection","lioness, sun disc",red,"courage, healing, protection",,nut,ra,,,,
egyptian,selqet,god,scorpion goddess,egypt,female,goddess,"protection, healing",scorpion,red,protection,,,,,,,
cherokee,selu,god,corn mother and provider of nourishment,cherokee nation,other,agricultural deity,"corn, agriculture, nourishment","corn, harvest symbols","yellow, green","agriculture, nourishment",,,,,children of the corn,,
indonesian,semar,god,god of guidance and protection,java,male,kind and wise,"guidance, protection","wayang puppet, beard",multicolored,"guidance, protection",,,,,,,
korean,seonnyeo,spirit,"celestial maiden, attendants to the jade emperor",heaven,other,graceful and divine,serving the jade emperor,heavenly robes,multicolored,"devotion, service",,,,,,,
egyptian,serqet,god,scorpion goddess,egypt,female,goddess,protection,scorpion,,protection,,,,,,,
egyptian,set,god,chaos god,egypt,male,god,"chaos, desert",set animal (typhon),red,ambition,,nut,geb,,"anubis, astarte",,
canaanite,shalim,god,god of dusk,-,male,deity,"dusk, peace",-,-,dusk and peace,-,-,-,-,various deities,,
assyrian,shamash,god,god of the sun and justice,assyria,male,sun god and judge,"sun, justice, law","solar disk, shamash wheel",gold,"justice, truth",,sin,enlil,,"many, including ishkur",,
sao,shango,god,"god of thunder, lightning, and fire",sky,male,bold and energetic,"thunder, lightning, fire",double-headed axe,red,"power, vitality, passion",,olodumare,,,various thunder and fire deities,,
yoruba,shango,god,god of thunder and lightning,yoruba lands,male,"powerful, passionate","thunder, dance",double-headed axe,red,"power, passion",married,yemoja,olorun,oshun,"oya, ogun",,
canaanite,shapash,god,sun goddess,-,female,deity,sun,sun disk,-,sun goddess,-,-,-,-,-,,
